latitude,longitude,extent,timestamp,traffic_police_station,day_of_week,hour_of_day,junction_name,1km_grid_id,anomaly
17.4634039,78.385392,400,2024-05-20 11:17:00,Madhapur,Monday,11,,833,1
17.4634039,78.385392,1200,2024-05-20 11:02:00,Madhapur,Monday,11,,834,1
17.4634039,78.385392,400,2024-05-20 10:32:01,Madhapur,Monday,10,,834,1
17.4634039,78.385392,1780,2024-05-20 10:02:02,Madhapur,Monday,10,,834,1
17.4634039,78.385392,1200,2024-05-20 09:46:59,Madhapur,Monday,9,,834,1
17.4514007,78.381157,326,2024-05-19 20:47:00,Madhapur,Sunday,20,CYBERTOWER,835,1
17.4728318,78.387634,400,2024-05-19 16:47:00,Madhapur,Sunday,16,KPHB7THPHASE,833,1
17.4514007,78.381157,326,2024-05-19 16:32:00,Madhapur,Sunday,16,CYBERTOWER,835,1
17.4728318,78.387634,1200,2024-05-19 16:32:00,Madhapur,Sunday,16,KPHB7THPHASE,833,1
17.4728318,78.387634,1200,2024-05-19 15:32:01,Madhapur,Sunday,15,KPHB7THPHASE,833,1
17.4634039,78.385392,800,2024-05-18 13:46:59,Madhapur,Saturday,13,,833,1
17.4529461,78.3822943,472,2024-05-17 19:46:59,Madhapur,Friday,19,CYBERTOWER,835,1
17.4529461,78.3822943,544,2024-05-17 19:32:02,Madhapur,Friday,19,SHILPARAMAM,835,1
17.4516621,78.3809048,544,2024-05-17 19:16:59,Madhapur,Friday,19,CYBERTOWER,835,1
17.4279506,78.3752504,254,2024-05-17 19:16:59,Madhapur,Friday,19,NCB,790,1
17.4297601,78.373796,472,2024-05-17 18:02:26,Madhapur,Friday,18,NCB,790,1
17.4529461,78.3822943,472,2024-05-17 18:02:26,Madhapur,Friday,18,CYBERTOWER,835,1
17.4634039,78.385392,800,2024-05-17 13:17:03,Madhapur,Friday,13,,834,1
17.4634039,78.385392,400,2024-05-17 09:47:05,Madhapur,Friday,9,,833,1
17.4487771,78.3791442,1380,2024-05-16 18:17:06,Madhapur,Thursday,18,CYBERTOWER,788,1
17.4475404,78.3782728,1890,2024-05-16 18:10:25,Madhapur,Thursday,18,,788,1
17.4356142,78.4014633,1926,2024-05-16 17:47:00,Madhapur,Thursday,17,,886,1
17.4356142,78.4014633,1926,2024-05-16 17:47:00,Madhapur,Thursday,17,,886,1
17.4229141,78.3815869,1272,2024-05-16 17:32:04,Madhapur,Thursday,17,KHAJAGUDA,790,1
17.4728318,78.387634,800,2024-05-16 16:47:00,Madhapur,Thursday,16,KPHB7THPHASE,833,1
17.4728318,78.387634,800,2024-05-16 16:17:00,Madhapur,Thursday,16,KPHB7THPHASE,833,1
17.4634039,78.385392,800,2024-05-16 09:17:00,Madhapur,Thursday,9,,834,1
17.4634039,78.385392,400,2024-05-15 10:31:59,Madhapur,Wednesday,10,,833,1
17.4634039,78.385392,618,2024-05-15 10:16:59,Madhapur,Wednesday,10,,834,1
